event_date,member_id,campaign_product,campaign_cosa,converted_product,converted_cosa,campaign_nm,conversion_channel_nm,quote_start_qty,quote_complete_qty,app_start_qty,app_complete_qty,prod_acq_qty,impression_qty,click_qty,campaign_funding_source
2025-02-23,MTc4MjIwOTM=,Consumer Loans,Bank,Renters,P&C,P&C_Renters_Campaign_1,Mobile,46,30,23,18,Direct Mail,177,71,P&C Renters
2025-04-23,MTQxODA4NzA=,Auto Insurance,P&C,Auto Insurance,P&C,Bank_Deposits_Campaign_2,Offline,47,36,25,16,Paid Display,97,70,P&C Credit Card
2025-03-05,MTQxODA4NzA=,Credit Card,P&C,Credit Card,Bank,Bank_Deposits_Campaign_2,Internet,44,39,27,10,Paid Display,115,76,P&C Auto Insurance
2025-03-17,ODMwNzcyMTc=,Renters,Bank,Auto Insurance,P&C,P&C_Homeowners_Campaign_1,Internet,49,30,25,16,Paid Display,95,75,Bank Consumer Loans
2025-03-17,ODI1NjMwMjE=,Consumer Loans,P&C,Credit Card,Bank,P&C_Auto Insurance_Campaign_1,Mobile,48,36,29,16,Paid Display,157,65,P&C Credit Card
2025-03-14,Mjc4MjkzMzI=,Consumer Loans,Bank,Homeowners,P&C,P&C_Homeowners_Campaign_2,Mobile,44,35,27,13,Paid Search,163,73,Bank Consumer Loans
2025-04-01,MjgxNDcxNzQ=,Renters,Bank,Credit Card,P&C,Bank_Deposits_Campaign_2,Offline,45,38,25,18,Email,177,75,Bank Deposits
2025-03-08,NjI2NjUxNTM=,Renters,Bank,Deposits,Bank,P&C_Homeowners_Campaign_2,Internet,46,35,29,18,Direct Mail,155,70,Bank Consumer Loans
2025-04-28,Njg4MzMxNTE=,Homeowners,Bank,Deposits,Bank,P&C_Auto Insurance_Campaign_1,Mobile,40,34,29,10,Direct Mail,193,67,Bank Credit Card
2025-03-22,NjM4MzEzNzU=,Renters,Bank,Renters,Bank,P&C_Auto Insurance_Campaign_1,Mobile,45,38,23,12,Paid Search,193,66,Bank Deposits
2025-04-27,NzY5MzQ0MzM=,Consumer Loans,P&C,Credit Card,P&C,Bank_Consumer Loans_Campaign_1,Internet,41,33,22,14,Email,163,80,P&C Auto Insurance
2025-04-29,NDQ5MDI5NTU=,Homeowners,Bank,Homeowners,Bank,P&C_Homeowners_Campaign_1,Offline,48,38,28,10,Email,106,74,P&C Renters
2025-04-11,NjgwMTM0MTg=,Deposits,Bank,Deposits,P&C,Bank_Deposits_Campaign_1,Internet,43,32,20,16,Paid Search,163,63,Bank Renters
2025-02-25,Nzk2MDI2ODE=,Auto Insurance,P&C,Deposits,Bank,Bank_Deposits_Campaign_1,Internet,43,36,20,16,Paid Display,175,64,P&C Deposits
2025-02-20,NDQwNTAzMjA=,Deposits,P&C,Renters,Bank,P&C_Homeowners_Campaign_1,Offline,42,34,27,11,Paid Search,102,73,Bank Auto Insurance
2025-02-28,NjM4MzEzNzU=,Deposits,P&C,Credit Card,Bank,P&C_Auto Insurance_Campaign_1,Mobile,46,39,22,14,Paid Social,168,60,P&C Consumer Loans
2025-03-31,NzEyMjY1Mjk=,Renters,P&C,Consumer Loans,P&C,Bank_Consumer Loans_Campaign_2,Offline,45,33,29,12,Direct Mail,108,72,Bank Auto Insurance
2025-03-15,ODMzMzg0Nzk=,Renters,P&C,Credit Card,Bank,P&C_Auto Insurance_Campaign_1,Internet,46,36,27,18,Direct Mail,190,69,P&C Homeowners
2025-04-07,MzY5MTMxMzM=,Renters,P&C,Auto Insurance,Bank,P&C_Renters_Campaign_2,Internet,45,35,29,17,Email,178,71,Bank Auto Insurance
2025-04-06,MTEwNDU4MTY=,Consumer Loans,Bank,Consumer Loans,P&C,P&C_Auto Insurance_Campaign_1,Mobile,48,34,20,18,Direct Mail,147,70,P&C Deposits
2025-02-19,MzE1MDgyMTQ=,Renters,P&C,Consumer Loans,Bank,Bank_Deposits_Campaign_1,Offline,42,37,28,16,Paid Social,155,79,Bank Deposits
2025-04-18,OTU4NjgwMTM=,Deposits,P&C,Renters,P&C,Bank_Deposits_Campaign_2,Offline,46,31,21,19,Paid Social,110,69,P&C Homeowners
2025-02-23,NDU5ODQzNDE=,Renters,Bank,Consumer Loans,P&C,Bank_Consumer Loans_Campaign_2,Internet,40,39,29,19,Paid Display,178,71,P&C Consumer Loans
2025-03-17,NDY0MDQ5MjQ=,Renters,Bank,Consumer Loans,Bank,Bank_Credit Card_Campaign_2,Offline,40,37,23,13,Paid Social,105,70,P&C Credit Card
2025-03-10,NjQxNTA2NDg=,Homeowners,P&C,Deposits,Bank,P&C_Homeowners_Campaign_1,Mobile,47,30,26,14,Paid Social,155,75,P&C Credit Card
2025-02-04,MjczNDEwMTA=,Homeowners,P&C,Consumer Loans,P&C,Bank_Consumer Loans_Campaign_2,Offline,40,32,28,15,Direct Mail,90,62,P&C Credit Card
2025-02-25,ODI1NjMwMjE=,Deposits,P&C,Deposits,P&C,P&C_Renters_Campaign_2,Internet,47,30,28,10,Paid Display,199,80,P&C Consumer Loans
2025-03-24,OTg5MTIzMjM=,Renters,P&C,Renters,P&C,P&C_Auto Insurance_Campaign_2,Internet,48,32,26,14,Paid Display,118,79,P&C Credit Card
2025-04-19,NzMwMDU0MTM=,Homeowners,Bank,Deposits,P&C,Bank_Credit Card_Campaign_1,Mobile,40,38,26,19,Email,128,74,Bank Auto Insurance
2025-03-22,ODM5MzcyNDA=,Renters,P&C,Auto Insurance,Bank,P&C_Auto Insurance_Campaign_1,Mobile,44,31,25,14,Direct Mail,81,63,Bank Homeowners
2025-02-19,NjgwMTM0MTg=,Deposits,P&C,Consumer Loans,P&C,P&C_Homeowners_Campaign_2,Mobile,47,33,24,13,Paid Social,86,71,Bank Homeowners
2025-03-02,NDQwNTAzMjA=,Homeowners,Bank,Homeowners,P&C,P&C_Homeowners_Campaign_2,Offline,41,36,28,18,Direct Mail,87,61,P&C Renters
2025-02-23,NjUyMzg4NTY=,Consumer Loans,Bank,Credit Card,Bank,Bank_Deposits_Campaign_2,Offline,49,34,24,16,Paid Display,185,68,P&C Deposits
2025-03-19,ODI3NTYzOTM=,Homeowners,Bank,Auto Insurance,Bank,Bank_Deposits_Campaign_2,Internet,42,35,26,12,Paid Display,161,77,Bank Deposits
2025-03-04,OTg5MTIzMjM=,Consumer Loans,Bank,Auto Insurance,P&C,P&C_Renters_Campaign_2,Internet,40,37,20,12,Paid Search,126,64,Bank Homeowners
2025-04-22,ODI1NjMwMjE=,Deposits,P&C,Credit Card,P&C,Bank_Credit Card_Campaign_1,Internet,40,35,26,11,Direct Mail,116,71,P&C Credit Card
2025-02-06,ODgxMzMzMzU=,Renters,Bank,Homeowners,P&C,Bank_Consumer Loans_Campaign_2,Offline,42,33,23,19,Email,162,76,Bank Credit Card
2025-03-07,NzMxMzQyMjE=,Renters,Bank,Deposits,Bank,Bank_Credit Card_Campaign_2,Mobile,49,36,28,17,Direct Mail,134,61,P&C Renters
2025-04-16,MTIxMzg1NDI=,Consumer Loans,Bank,Credit Card,P&C,P&C_Auto Insurance_Campaign_1,Internet,49,30,28,10,Paid Social,197,78,P&C Homeowners
2025-04-10,NjUyMzg4NTY=,Credit Card,P&C,Consumer Loans,P&C,Bank_Deposits_Campaign_2,Mobile,46,31,23,19,Paid Social,121,71,Bank Consumer Loans
2025-03-24,NzIzOTY1ODU=,Credit Card,Bank,Credit Card,P&C,Bank_Deposits_Campaign_2,Offline,43,36,21,10,Direct Mail,145,64,P&C Credit Card
2025-03-25,Njc0NTQzODg=,Auto Insurance,P&C,Renters,Bank,P&C_Renters_Campaign_2,Mobile,43,30,20,11,Email,150,79,Bank Homeowners
2025-04-02,Mjc1OTMwNDk=,Auto Insurance,P&C,Renters,Bank,P&C_Renters_Campaign_1,Mobile,42,32,21,10,Direct Mail,162,66,Bank Homeowners
2025-03-21,ODI3NTYzOTM=,Renters,Bank,Auto Insurance,P&C,Bank_Credit Card_Campaign_1,Offline,40,34,25,19,Paid Social,113,65,P&C Renters
2025-03-05,NTk2ODA3MDg=,Renters,P&C,Consumer Loans,Bank,Bank_Credit Card_Campaign_1,Internet,49,38,23,12,Paid Search,162,71,Bank Auto Insurance
2025-04-08,MzE2NTE2MzU=,Homeowners,P&C,Deposits,Bank,Bank_Deposits_Campaign_1,Mobile,44,39,25,17,Paid Social,130,72,Bank Renters
2025-04-20,MzQ1MzI4NDU=,Renters,P&C,Auto Insurance,P&C,P&C_Homeowners_Campaign_1,Offline,44,30,20,17,Paid Search,136,73,P&C Deposits
2025-03-15,NzY5MzQ0MzM=,Consumer Loans,P&C,Renters,Bank,Bank_Consumer Loans_Campaign_1,Mobile,43,36,24,15,Direct Mail,86,60,P&C Consumer Loans
2025-04-04,MTIwMzc4ODM=,Consumer Loans,P&C,Homeowners,P&C,P&C_Renters_Campaign_2,Offline,45,30,27,15,Email,107,80,Bank Renters
2025-05-04,OTU4NjgwMTM=,Auto Insurance,P&C,Consumer Loans,P&C,Bank_Deposits_Campaign_2,Offline,43,31,22,13,Direct Mail,118,74,P&C Auto Insurance
2025-04-17,MTAxNzM4OTg=,Credit Card,P&C,Consumer Loans,P&C,Bank_Credit Card_Campaign_1,Mobile,46,35,29,18,Paid Social,171,78,Bank Homeowners
2025-03-21,MTkyMTY5NzI=,Homeowners,Bank,Deposits,P&C,P&C_Renters_Campaign_2,Mobile,43,34,23,10,Email,184,63,Bank Credit Card
2025-03-02,Mjc1OTMwNDk=,Deposits,Bank,Credit Card,Bank,P&C_Auto Insurance_Campaign_1,Mobile,40,38,27,13,Paid Social,156,70,P&C Credit Card
2025-04-13,NzMxMzQyMjE=,Auto Insurance,P&C,Consumer Loans,Bank,Bank_Deposits_Campaign_2,Internet,44,35,28,19,Paid Search,196,74,P&C Renters
2025-02-10,MjAxODIzMjM=,Homeowners,P&C,Credit Card,P&C,P&C_Renters_Campaign_1,Mobile,43,38,28,11,Paid Display,141,76,P&C Renters
2025-03-05,ODUzMDIwMDA=,Renters,Bank,Credit Card,P&C,P&C_Homeowners_Campaign_1,Mobile,40,33,29,13,Email,86,67,P&C Homeowners
2025-03-30,MjczNDEwMTA=,Renters,P&C,Consumer Loans,P&C,P&C_Renters_Campaign_2,Internet,44,37,23,12,Direct Mail,99,64,P&C Renters
2025-04-26,MzE2NTE2MzU=,Auto Insurance,Bank,Homeowners,Bank,Bank_Consumer Loans_Campaign_1,Mobile,46,31,26,15,Paid Social,151,65,P&C Deposits
2025-04-24,ODU5NDY2OTM=,Credit Card,P&C,Auto Insurance,P&C,P&C_Renters_Campaign_1,Mobile,47,32,23,15,Email,168,71,P&C Deposits
2025-02-17,MTIwMzc4ODM=,Consumer Loans,Bank,Credit Card,P&C,Bank_Deposits_Campaign_2,Internet,44,35,28,17,Direct Mail,151,68,Bank Auto Insurance
2025-03-31,ODgxMzMzMzU=,Homeowners,P&C,Consumer Loans,Bank,Bank_Credit Card_Campaign_1,Internet,45,37,20,10,Paid Social,161,62,Bank Credit Card
2025-04-22,MjAxODIzMjM=,Renters,Bank,Deposits,Bank,P&C_Renters_Campaign_2,Mobile,46,39,23,10,Paid Display,128,67,P&C Credit Card
2025-04-12,NzEyMjY1Mjk=,Auto Insurance,P&C,Homeowners,Bank,Bank_Consumer Loans_Campaign_2,Internet,48,31,22,18,Paid Search,193,64,Bank Deposits
2025-05-03,MTM0NDQxMjM=,Homeowners,P&C,Credit Card,P&C,P&C_Renters_Campaign_1,Internet,43,38,28,18,Paid Search,87,64,P&C Homeowners
2025-04-19,NTg1MTU4NzI=,Credit Card,Bank,Credit Card,P&C,P&C_Homeowners_Campaign_2,Internet,43,32,27,16,Direct Mail,170,65,P&C Homeowners
2025-04-20,MjgxNDcxNzQ=,Deposits,Bank,Homeowners,Bank,P&C_Auto Insurance_Campaign_2,Offline,41,32,29,13,Paid Display,185,78,P&C Homeowners
2025-02-17,MTU5OTAyNTk=,Homeowners,P&C,Consumer Loans,Bank,Bank_Consumer Loans_Campaign_2,Internet,44,35,21,15,Direct Mail,132,64,P&C Homeowners
2025-04-15,NDQ5MDI5NTU=,Credit Card,Bank,Homeowners,Bank,Bank_Credit Card_Campaign_2,Offline,41,35,27,17,Direct Mail,85,78,P&C Auto Insurance
2025-02-17,ODgxMzMzMzU=,Deposits,Bank,Renters,P&C,Bank_Consumer Loans_Campaign_1,Mobile,44,34,23,11,Paid Social,164,64,P&C Consumer Loans
2025-03-28,Mjg4NDkxOTk=,Renters,P&C,Homeowners,Bank,Bank_Deposits_Campaign_1,Internet,48,34,24,16,Paid Search,91,72,P&C Auto Insurance
2025-02-07,NDU5ODQzNDE=,Credit Card,P&C,Deposits,P&C,Bank_Consumer Loans_Campaign_1,Mobile,43,36,25,12,Direct Mail,139,79,Bank Credit Card
2025-03-19,MTQxODA4NzA=,Consumer Loans,Bank,Homeowners,Bank,Bank_Deposits_Campaign_1,Offline,42,38,21,16,Paid Social,174,80,P&C Consumer Loans
2025-04-27,MzY3ODc0OTE=,Consumer Loans,Bank,Homeowners,P&C,Bank_Consumer Loans_Campaign_1,Mobile,43,35,29,15,Paid Search,121,79,Bank Deposits
2025-03-30,ODM5MzcyNDA=,Consumer Loans,P&C,Deposits,Bank,Bank_Deposits_Campaign_2,Internet,40,36,22,10,Paid Social,127,64,Bank Credit Card
2025-03-27,MTE4NzEwNjk=,Consumer Loans,P&C,Auto Insurance,P&C,Bank_Deposits_Campaign_1,Internet,44,37,29,14,Email,111,68,Bank Consumer Loans
2025-02-10,ODgxMzMzMzU=,Consumer Loans,Bank,Credit Card,Bank,P&C_Renters_Campaign_1,Mobile,48,39,26,13,Paid Display,120,68,P&C Consumer Loans
2025-02-06,Nzk2MDI2ODE=,Credit Card,Bank,Homeowners,Bank,Bank_Deposits_Campaign_1,Mobile,47,31,25,11,Paid Display,198,73,Bank Credit Card
2025-04-09,NzIzOTY1ODU=,Homeowners,P&C,Consumer Loans,Bank,Bank_Consumer Loans_Campaign_1,Offline,46,38,21,10,Email,170,60,P&C Credit Card
2025-03-02,NjI2NjUxNTM=,Deposits,Bank,Deposits,P&C,Bank_Deposits_Campaign_1,Offline,48,37,20,19,Paid Display,122,80,P&C Consumer Loans
2025-04-29,NDQwNTAzMjA=,Deposits,P&C,Auto Insurance,P&C,P&C_Renters_Campaign_1,Mobile,48,39,29,16,Direct Mail,195,75,Bank Credit Card
2025-02-21,MTE4NzEwNjk=,Credit Card,Bank,Renters,P&C,P&C_Auto Insurance_Campaign_2,Mobile,47,32,29,19,Paid Display,154,60,P&C Homeowners
2025-02-13,NjQxNTA2NDg=,Consumer Loans,Bank,Homeowners,P&C,P&C_Renters_Campaign_1,Internet,48,34,23,17,Email,82,68,Bank Homeowners
2025-02-03,OTQzMTY0MjY=,Consumer Loans,P&C,Credit Card,P&C,Bank_Consumer Loans_Campaign_1,Internet,42,36,25,16,Direct Mail,197,79,P&C Deposits
2025-02-23,NzAxNzMwNjU=,Homeowners,Bank,Consumer Loans,Bank,P&C_Homeowners_Campaign_1,Mobile,43,30,29,19,Direct Mail,182,78,Bank Renters
2025-04-30,ODIzMTgxNzQ=,Credit Card,P&C,Consumer Loans,P&C,Bank_Credit Card_Campaign_2,Offline,44,36,28,13,Paid Social,200,66,Bank Homeowners
2025-03-24,Njg4MzMxNTE=,Consumer Loans,Bank,Renters,Bank,P&C_Auto Insurance_Campaign_2,Internet,49,35,27,14,Paid Display,196,73,P&C Credit Card
2025-03-05,MjUzMzM3Mzc=,Deposits,P&C,Auto Insurance,P&C,Bank_Consumer Loans_Campaign_2,Offline,44,33,21,11,Paid Search,96,66,P&C Renters
2025-03-23,MjExMTc4NzU=,Auto Insurance,Bank,Renters,P&C,P&C_Renters_Campaign_2,Internet,40,39,29,11,Paid Search,108,66,Bank Renters
2025-02-14,ODcwNTgxODA=,Homeowners,P&C,Homeowners,P&C,P&C_Auto Insurance_Campaign_2,Internet,42,32,21,13,Email,190,67,Bank Auto Insurance
2025-03-23,NDQwNTAzMjA=,Consumer Loans,P&C,Renters,Bank,P&C_Homeowners_Campaign_2,Offline,47,30,25,11,Paid Search,131,72,Bank Credit Card
2025-04-01,OTUyMTE4MTg=,Renters,P&C,Consumer Loans,Bank,Bank_Deposits_Campaign_1,Offline,42,35,28,15,Direct Mail,98,63,Bank Consumer Loans
2025-02-14,MTIxMzg1NDI=,Credit Card,Bank,Auto Insurance,P&C,Bank_Consumer Loans_Campaign_2,Offline,42,38,25,11,Paid Social,88,64,Bank Credit Card
2025-02-13,Mjg4NDkxOTk=,Auto Insurance,P&C,Renters,Bank,Bank_Deposits_Campaign_2,Internet,49,35,23,17,Paid Display,178,60,Bank Deposits
2025-02-13,MzQ1MzI4NDU=,Consumer Loans,P&C,Consumer Loans,Bank,Bank_Consumer Loans_Campaign_1,Mobile,45,32,22,10,Direct Mail,147,80,P&C Renters
2025-02-14,ODU5NDY2OTM=,Auto Insurance,P&C,Renters,P&C,Bank_Credit Card_Campaign_2,Offline,46,36,25,18,Paid Social,83,62,Bank Auto Insurance
2025-02-15,ODIzMTgxNzQ=,Consumer Loans,P&C,Deposits,Bank,P&C_Homeowners_Campaign_1,Mobile,45,31,20,16,Paid Display,114,76,Bank Consumer Loans
2025-03-29,Nzk2MDI2ODE=,Homeowners,P&C,Deposits,Bank,Bank_Consumer Loans_Campaign_1,Offline,44,30,28,13,Paid Social,200,71,P&C Renters
2025-04-15,NzEyMjY1Mjk=,Consumer Loans,P&C,Consumer Loans,P&C,Bank_Deposits_Campaign_1,Mobile,49,33,24,18,Email,184,78,Bank Homeowners
2025-04-19,Mjc4MjkzMzI=,Renters,Bank,Homeowners,Bank,Bank_Credit Card_Campaign_1,Offline,46,39,21,13,Paid Search,111,80,P&C Renters
2025-03-27,NzY5MzQ0MzM=,Homeowners,Bank,Deposits,Bank,P&C_Renters_Campaign_2,Internet,47,39,23,11,Paid Social,172,67,P&C Homeowners
2025-03-13,ODcwNTgxODA=,Homeowners,P&C,Consumer Loans,P&C,Bank_Consumer Loans_Campaign_2,Offline,43,36,28,19,Email,84,60,Bank Renters
2025-02-27,NjUyMzg4NTY=,Credit Card,P&C,Renters,P&C,P&C_Auto Insurance_Campaign_1,Offline,49,35,27,12,Paid Social,85,70,P&C Deposits
2025-02-11,NDQ5MDI5NTU=,Consumer Loans,Bank,Auto Insurance,P&C,Bank_Credit Card_Campaign_1,Mobile,49,39,20,15,Paid Social,111,60,P&C Deposits
2025-02-11,ODMzMzg0Nzk=,Homeowners,Bank,Renters,P&C,P&C_Renters_Campaign_1,Offline,40,31,21,19,Direct Mail,188,76,Bank Consumer Loans
2025-03-18,NzMxMzQyMjE=,Homeowners,Bank,Credit Card,P&C,Bank_Deposits_Campaign_1,Internet,48,31,25,14,Paid Social,106,77,P&C Auto Insurance
2025-02-23,Mjg4NDkxOTk=,Credit Card,P&C,Deposits,P&C,Bank_Credit Card_Campaign_2,Mobile,44,33,26,16,Email,84,76,P&C Credit Card
2025-04-26,ODMzMzg0Nzk=,Credit Card,Bank,Consumer Loans,P&C,Bank_Credit Card_Campaign_2,Offline,49,39,28,13,Direct Mail,173,74,P&C Credit Card
2025-04-21,NzEyMjY1Mjk=,Homeowners,P&C,Auto Insurance,Bank,Bank_Deposits_Campaign_2,Offline,48,39,26,13,Direct Mail,116,67,Bank Credit Card
2025-03-17,Mzk1MjY3NjU=,Homeowners,P&C,Deposits,Bank,P&C_Homeowners_Campaign_2,Mobile,41,39,25,14,Direct Mail,167,74,P&C Renters
2025-03-22,OTQ0Mjk1OTQ=,Deposits,Bank,Credit Card,P&C,P&C_Renters_Campaign_2,Mobile,47,39,22,17,Paid Social,158,72,P&C Renters
2025-03-30,MTc4MjIwOTM=,Credit Card,Bank,Homeowners,P&C,P&C_Auto Insurance_Campaign_2,Mobile,41,34,22,15,Paid Social,93,62,Bank Deposits
2025-05-04,NTk2ODA3MDg=,Deposits,Bank,Credit Card,P&C,P&C_Renters_Campaign_1,Mobile,45,34,27,15,Direct Mail,160,72,P&C Homeowners
2025-03-12,OTUyMTE4MTg=,Deposits,Bank,Consumer Loans,P&C,P&C_Auto Insurance_Campaign_1,Internet,48,32,23,12,Email,184,60,P&C Consumer Loans
2025-02-22,ODM5MzcyNDA=,Deposits,Bank,Homeowners,Bank,Bank_Consumer Loans_Campaign_1,Mobile,45,31,21,14,Paid Search,166,61,P&C Renters
2025-02-24,MzMyNDY5MTE=,Homeowners,Bank,Auto Insurance,P&C,Bank_Credit Card_Campaign_2,Offline,45,30,23,17,Direct Mail,178,76,Bank Homeowners
2025-03-04,MTM2NzI0ODA=,Renters,P&C,Auto Insurance,Bank,P&C_Homeowners_Campaign_1,Internet,43,31,29,10,Paid Social,111,62,P&C Credit Card
2025-04-22,MjczMDc2OTI=,Auto Insurance,P&C,Auto Insurance,Bank,P&C_Auto Insurance_Campaign_2,Mobile,42,34,28,12,Paid Social,190,67,Bank Renters
2025-05-02,MTc4MjIwOTM=,Credit Card,Bank,Homeowners,P&C,Bank_Credit Card_Campaign_2,Internet,41,37,22,11,Paid Social,98,75,P&C Deposits
2025-03-11,ODM5MzcyNDA=,Auto Insurance,P&C,Consumer Loans,Bank,Bank_Consumer Loans_Campaign_1,Internet,46,33,26,11,Paid Search,143,67,Bank Renters
2025-03-12,MjQ1NDg3ODk=,Renters,P&C,Auto Insurance,Bank,Bank_Consumer Loans_Campaign_1,Mobile,42,38,28,19,Email,106,66,P&C Deposits
2025-05-04,NDU5NTI4MzQ=,Homeowners,Bank,Deposits,Bank,P&C_Homeowners_Campaign_2,Mobile,45,36,20,17,Paid Display,151,60,P&C Auto Insurance
2025-04-04,NDY0MDQ5MjQ=,Auto Insurance,Bank,Homeowners,P&C,Bank_Consumer Loans_Campaign_1,Offline,49,33,22,15,Paid Social,187,67,P&C Credit Card
2025-04-26,MTE4NzEwNjk=,Homeowners,Bank,Credit Card,Bank,P&C_Renters_Campaign_2,Mobile,42,39,25,13,Email,169,80,P&C Credit Card
2025-03-09,NDczNjA2ODU=,Consumer Loans,P&C,Homeowners,Bank,Bank_Consumer Loans_Campaign_2,Mobile,41,39,23,17,Paid Search,191,69,Bank Renters
2025-02-26,MzY3ODc0OTE=,Consumer Loans,P&C,Homeowners,Bank,P&C_Homeowners_Campaign_1,Internet,49,34,28,14,Paid Social,172,67,P&C Renters
2025-02-16,ODIxOTE0NzA=,Homeowners,Bank,Auto Insurance,P&C,P&C_Auto Insurance_Campaign_2,Offline,46,39,21,19,Paid Social,181,70,P&C Deposits
2025-03-02,NjA2NTQ0MjA=,Renters,Bank,Auto Insurance,Bank,P&C_Renters_Campaign_1,Offline,48,30,23,10,Email,170,61,P&C Credit Card
2025-04-17,NzEyMjY1Mjk=,Consumer Loans,Bank,Consumer Loans,Bank,P&C_Renters_Campaign_1,Mobile,47,35,24,15,Direct Mail,167,80,P&C Renters
2025-03-21,OTg5MTIzMjM=,Deposits,Bank,Homeowners,P&C,P&C_Renters_Campaign_2,Internet,42,30,23,18,Direct Mail,179,67,P&C Deposits
2025-04-22,MjAxODIzMjM=,Consumer Loans,Bank,Auto Insurance,Bank,P&C_Auto Insurance_Campaign_1,Offline,41,33,22,16,Paid Social,105,67,Bank Auto Insurance
2025-04-28,Mjc4NjY3Nzk=,Credit Card,Bank,Homeowners,Bank,Bank_Deposits_Campaign_1,Mobile,42,39,29,11,Email,98,65,P&C Consumer Loans
2025-02-23,OTQ4NzY4Mzg=,Auto Insurance,P&C,Consumer Loans,P&C,Bank_Deposits_Campaign_1,Offline,43,33,22,19,Paid Social,147,66,Bank Deposits
2025-05-01,Njk3NDM0MTc=,Homeowners,Bank,Credit Card,P&C,P&C_Renters_Campaign_2,Offline,44,35,20,13,Paid Social,161,72,Bank Homeowners
2025-03-20,MzY3ODc0OTE=,Deposits,Bank,Renters,Bank,P&C_Auto Insurance_Campaign_2,Offline,40,39,28,15,Paid Display,140,66,Bank Consumer Loans
2025-04-30,Njc0NTQzODg=,Renters,Bank,Consumer Loans,P&C,P&C_Renters_Campaign_1,Mobile,45,39,27,11,Paid Social,159,67,Bank Auto Insurance
2025-02-19,ODg0MzM4NDM=,Renters,Bank,Renters,P&C,Bank_Credit Card_Campaign_1,Offline,49,30,24,15,Direct Mail,108,71,Bank Renters
2025-02-18,MzQxOTk3MDY=,Consumer Loans,P&C,Consumer Loans,Bank,P&C_Renters_Campaign_1,Offline,43,38,22,15,Paid Search,91,70,Bank Renters
2025-02-21,ODI3NTYzOTM=,Renters,Bank,Deposits,Bank,Bank_Credit Card_Campaign_2,Offline,46,36,21,10,Paid Search,198,72,P&C Auto Insurance
2025-04-27,ODM5MzcyNDA=,Auto Insurance,Bank,Renters,Bank,P&C_Homeowners_Campaign_2,Mobile,48,30,21,13,Email,108,80,Bank Homeowners
2025-04-11,ODIzMTgxNzQ=,Auto Insurance,P&C,Renters,P&C,P&C_Homeowners_Campaign_1,Offline,47,38,24,14,Email,130,76,P&C Auto Insurance
2025-04-13,ODUxODExNTQ=,Deposits,Bank,Auto Insurance,P&C,P&C_Renters_Campaign_1,Offline,40,35,23,16,Paid Display,101,79,P&C Deposits
2025-02-20,NzY5MzQ0MzM=,Deposits,Bank,Homeowners,Bank,Bank_Credit Card_Campaign_2,Internet,40,37,28,11,Paid Display,82,66,Bank Credit Card
2025-03-24,ODcwNTgxODA=,Homeowners,P&C,Credit Card,P&C,P&C_Auto Insurance_Campaign_2,Mobile,49,33,22,13,Email,187,80,Bank Auto Insurance
2025-03-31,ODI3NTYzOTM=,Auto Insurance,P&C,Consumer Loans,P&C,Bank_Consumer Loans_Campaign_2,Offline,44,38,25,18,Direct Mail,159,63,P&C Homeowners
2025-02-10,NjA3NTkzOTE=,Homeowners,P&C,Auto Insurance,Bank,P&C_Renters_Campaign_2,Internet,40,31,27,12,Paid Display,116,78,Bank Credit Card
